acron,name
pc,Computer
mobile,Mobile
browser,Browser
windows,Windows
mac,Mac
linux,Linux
ios,iOS
android,Android
switch,Nintendo Switch
wii,Nintendo Wii
wiiu,Nintendo Wii U
gamecube,Nintendo GameCube
n64,Nintendo 64
snes,Super Nintendo (SNES)
nes,Nintendo Entertainment System (NES)
3ds,Nintendo 3DS
nds,Nintendo DS
gba,Game Boy Advance
gbc,Game Boy Color
gb,Game Boy
virtualboy,Virtual Boy
master_system,Sega Master System
mega_drive,Sega Mega Drive (Genesis)
sega_cd,Sega CD
sega_32x,Sega 32X
gamegear,Sega Game Gear
sega_saturn,Sega Saturn
dreamcast,Sega Dreamcast
ps1,PlayStation 1
ps2,PlayStation 2
ps3,PlayStation 3
ps4,PlayStation 4
ps5,PlayStation 5
psp,PlayStation Portable (PSP)
psvita,PlayStation Vita
cps1,Capcom Play System 1 (CPS1)
cps2,Capcom Play System 2 (CPS2)
cps3,Capcom Play System 3 (CPS3)
neogeo,Neo Geo
neogeo_cd,Neo Geo CD
ngp,Neo Geo Pocket
ngpc,Neo Geo Pocket Color
mame,MAME (arcade emulator)
arcade,Arcade
atari2600,Atari 2600
atari5200,Atari 5200
atari7800,Atari 7800
atarilynx,Atari Lynx
atarijaguar,Atari Jaguar
atarijaguarcd,Atari Jaguar CD
atarist,Atari ST
pcengine,PC Engine / TurboGrafx-16
pcengine_cd,PC Engine CD / TurboGrafx-CD
amiga,Commodore Amiga
amiga_cd32,Commodore Amiga CD32
apple_ii,Apple II
apple_iigs,Apple IIGS
c16,Commodore 16
c64,Commodore 64
c128,Commodore 128
msx,MSX
msx2,MSX2
dos,MS-DOS
